"ECB_00376"	"ECB_01992"	"ECB_02008"	"ECB_04210"	"ESCRE0483"	"ESCRE1328"	"ESCRE1901"	"atpC"	"cls"	"crp"	"dgt"	"fruK"	"glgC"	"glgP"	"glmM"	"glmS"	"glpF"	"glpT"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"leuX"	"mdoH"	"metH"	"motB"	"mrdA"	"mrdB"	"mreB"	"napA"	"nuoN"	"nusA"	"ompR"	"poxA"	"pta"	"rho"	"rmlA"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rsmC"	"rssB"	"secF"	"slyA"	"sufD"	"truB"	"wbbC"	"ybaL"	"ybhI"	"yccE"	"yejM"	"yhhF"	"yjgQ"	"ykgG"	"yqeA"	"yraL"
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0.102522406304202	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.201086256120785	0	0	0	0	0.0350374103974577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	-0.0920142401845405	0.0325219124693642	-0.0924935792349655	0.0998870451956424	-0.0575401548665598	-0.0735664574522805	0	0	-0.0377352016895732	0.042439664060574	-0.0194325309259304	0.0076229934978531	-0.0768178563613094	0.0594864544273632	0.0164268301750506	-0.0258388140749106	0	0	0.0342624328227451	-0.0973035922979165	0	1	0	-0.0694861380451288	0	0.0408845455668937	-0.0591322447389763	0	0	0.0786363782995545	0.0129288145726602	0	0.100411217113323	0	-0.0222664414381574	-0.0300252420344969	0	0	0	0	0.00640311267331284	0.0859210644261399	-0.0621648672433043	0.0998090372117173	-0.0227904313793008	0.0097370048688716	0.0985834494257127	0.0483406226289506	0.0170605592657896	0.0608325221166928	0	0.0557289588479508	0	-0.0922044067719066	0.0120144247816544	0	0	-0.0770794073674473	0
"kpsE"	0	0	0	0	0	0	0	0	0	0	0	0	0.108962206139584	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188016012465979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"leuX"	0	0	0	0	0	0.00485556626268153	0	0	0	0	0	0	0.100708275138453	0	0	0	0	0	0	0	0	-0.0694861380451288	0	1	0	0	0	0	0	0	0	0	0	0	0	0.195065228124994	0	0	0	0	0.00948955645218367	-0.0229759240142902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209749340512634	0
"mdoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.0116122663036683	0	0	0	-0.128520912499216	0	0	0	0	-0.227421141840252	-0.000264871695672227	0	0	0	0	0	0	0	0	0	0	0.00924829979648088	0	0	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0703975648518322	0	0	0	0	0	0	0	0	0.0408845455668937	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00542565940165634	0	0	0	0	0.185437498700248	0.0430872152663629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"motB"	0	0	0	0	0	0	0	0	0	0	0	0	0.0259472883554843	0	0	0	0	0	0	0	0	-0.0591322447389763	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0681467132459799	0	0	0	0	-0.161752879053904	-0.0820014764354629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0	0	0	0	0	0	0	0.00239940791920879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.265831696122675	0.0043952834845092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	0	0	0	0	0	0	0	0	0	-0.140871120294249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6.6503657640992e-05	0	0	0	0	-0.206280128689837	-0.0073555426097392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	-0.180707834294639	0	0	0	0	0	0	0	0	0.0786363782995545	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.138045209424178	0	0	0	0	-0.047941405954706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"napA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129288145726602	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.172362179587227	0	0	0	0	0.0814184321998301	0.0504305996102281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nuoN"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0248447905078561	0	0	0	0	0	0	0	0	0	0	0	-0.0116122663036683	0	0	0	0	0	0	1	0	0	0	0.244542663321315	0	0.0393416251955646	0	0	0.129578414907004	0	0	0	0	0	0	0	0.00551326578777537	0	0	0	-0.0113364318694421	0	0	0	0	0	0
"nusA"	0	0	-0.00783797770053299	0	0	0	0	0	0	0	0	0	-0.193920347199605	0	0	0	0	0	0	0	0	0.100411217113323	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0387300052531673	0	0	0	0	0.00288958772310489	0.054984079340117	0	0.00508127951699288	0	0	0.00930231217493278	0	0	0	0	0	0	0	0	0	0	0	0
"ompR"	0	0	0	0	0	0	0	0	0	0	0	0	-0.154242098404322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.159236262549668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"poxA"	0	0	0	0	0	0	0	0	0	0	0	0	0.152413292348547	0	0	0	0	0	0	0	0	-0.0222664414381574	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.144739957766402	0	0	0	0	-0.0348059674558361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
