"ECB_00376"	"ECB_00503"	"ECB_00737"	"ECB_01413"	"ECB_01992"	"ECB_02008"	"ECB_02512"	"ECB_02800"	"ECB_04076"	"ECB_04210"	"ESCRE1397"	"ESCRE1901"	"IS3_insF"	"clpB"	"cls"	"crp"	"dapA"	"dedA"	"dnaA"	"dusB"	"fbp"	"fcl"	"fis"	"fruK"	"ftsH"	"glgC"	"glgP"	"glpR"	"hrpA"	"hupB"	"hyfG"	"iclR"	"infB"	"kpsD"	"kpsE"	"kpsM"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nuoM"	"nusA"	"ompR"	"pdhR"	"pitB"	"prc"	"pta"	"rep"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rsmC"	"rssB"	"secF"	"slyA"	"sucB"	"sufD"	"thrA"	"thrS"	"ulaG"	"uspA"	"valT"	"wbbC"	"wzyE"	"ybaL"	"ybbN"	"ybfA"	"ybhJ"	"ybjE"	"yeeJ"	"yehU"	"yejM"	"yfdC"	"yfhK"	"ygiV"	"yiaG"	"yjaG"	"yjbA"	"ylbH"	"yraM"	"znuA"
"fbp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336932969159449	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19909666910939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00562713433376042	0	0	0	0	0	0	-0.0151607997160945	0	0	0	0
"fcl"	0	0	0.0348180633527734	0	0	0	0.0257919711257163	0	0	0	-0.00902268188241094	-0.022906039891904	0	0.0135781667552425	0	-0.0836032323491062	0.0320889199812229	0	0	0	0	1	0	0	0.0278058679794491	0	0	-0.0385540162346797	0	0	0	0	0	0.0197069974335594	0	0	0	-0.00994332312161195	0	-0.105017259564789	0	0	0	0	0	0	0.00398241364326883	-0.0308557515869327	0	0	0	-0.0047529854156614	0	0	0	0	0	0	0.0332200306184042	0	0	0	0	-0.0123461468022205	0	0	0	-0.0137002104175858	0	-0.00316753004854277	0	-0.0264928716759215	0	-0.00191958531139431	0	0	0	0	0	0	0	0	0.100674146293445	0	0.0296694452795022	0	0
"fis"	0	0	0	0	0	0	0	0	0	0	-0.00179626853519124	0	0	0.00425431424063087	0	0	0	0	0	0	0	0	1	0	0.0382183116615128	0	0	0	0	0	0	0	0	-0.0388711964280127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165590421674399	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	-0.0131187186203106	0	0	0.0763384997804808	0	0	0	0	0	0	0	0	0	1	0.0329430138114302	0	0	0	0	0	0	0	0	-0.153375616035706	0	0	0	0	0	-0.0971943907867866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0396435649359235	0	0	0	0	0	0	0.000521876407557857	0	0	0	0
"ftsH"	0.0207248598092798	-0.0475913837835973	0.0196497896998787	0	0	0.0227492518032354	0	0.0321766159877447	0	-0.015895623396957	-0.0459629933747456	-0.066386041294976	0.0299242226488501	0.0271673122811812	0	-0.00995634292495703	0.0165363458498093	-0.0469599732363746	0.0367647304807993	-0.00202669389066464	0	0.0278058679794491	0.0382183116615128	0.0329430138114302	1	0.0275622392493161	0	-0.0282273831136556	0	0.0397195526518228	0	0	0	-0.060742225368778	0.0526240360512741	-0.00276575721524593	0	-0.0094737496385982	0	0	0	0	0.0392564892723051	0	-0.00746282531790453	0.0326460336781208	0.0403555894084759	0	-0.0462973921724212	0	0	0	0	0	0	0	0	-0.0172677401733945	0.017316129222358	0	-0.0176232280958262	0.035001694751885	0	-0.0341639984830279	0	0.03397811439501	0	-0.0344074168294697	0	-0.00394191592153015	0	0	0	-0.00350544303130953	0.0348580748103182	-0.0113542208306917	0.0385015511170404	0.0215196992380775	0	-0.00268503671278427	-0.00385851235024117	0	0.0838865631730394	0	0.0140119980334405	-0.00152599006406486	0
"glgC"	0.0327197289252157	0	0	-0.0014943562133255	0	0.0363736551267122	-0.00953990811798471	0	0	0	-0.0128297126878443	0	0	0.0109005877943858	0	0.0405398901338884	0	0	0	0	0	0	0	0	0.0275622392493161	1	0	0	0	0	0	0	0	-0.178924898499006	0	0	0	0	0	0.0429113162488517	0	-0.000111882998247374	0	0	-0.00622980964640071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00349621916332112	0	0.0335855136747431	0	0	0	0	0.0705504693546825	0	0	0	0
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0305561915582996	0	0.050329378428016	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.0478169405397749	0	0	0	0	0	-0.0643579541458485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0229230190777301	0	0	0	0	0	0	-0.132024016321199	0	0	0	0
"glpR"	0	0	-0.00377895450492259	0	0	0	-0.0324385959537402	0	0	0	0	0	0	0	0	0.136445949252769	0	0	0	0	0	-0.0385540162346797	0	0	-0.0282273831136556	0	0	1	0	0	0	0	0	-0.0240112777110049	0	0	0	0.00905306951686788	0	0.0619243682360298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00679800796584769	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.206799722721879	0	0	0	0
"hrpA"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0166135846287807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.147469916753668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00474129455981887	0	0	0	0	0	0	0.106751818812889	0	0	0	0
"hupB"	0	-0.00871417133879972	0	0	0	0	0	0	0	0	-0.0298784908486067	-0.00183809663444697	0	0.07031889246113	0	0	0	-0.00730770600653412	0	-0.00162148518085396	0	0	0	0	0.0397195526518228	0	0	0	0	1	0	0	0	-0.0931375115646686	0	0	0	0	0	-0.121762782832604	0	0	0.00833460484479285	0	0	0	0.0330850549086222	0	-0.00466605235429369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0145331167402503	0	0	0	-0.01606107873651	0.00436243488039611	0	0	0	0	0	0	-0.038950258421223	0.0234004141515398	0	0	0	-0.00653307023179316	0	0.0375554866383891	0	0	-0.000519453233683931	0
"hyfG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306461376632401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.185841002513639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00308570941585391	0	0	0	0	0	0	-0.0167416972553174	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.155020223314881	0	0	0	0	0	0.0536779233009027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0977729768540729	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.111158861856186	0	0	0	0	0	0.0171982496207762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0741430929946673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00447970049468146	0	0	0	0
"kpsD"	-0.167620293321118	0.103369671535653	0.0121106907601316	0.147561808057301	-0.0327399384181963	-0.171380796398183	0.121227069317172	-0.0285310566609802	0	0.0982294301339037	0.104309860875054	0.00921020441571261	-0.0259364327300303	-0.0607931331131508	-0.142972242373955	-0.1034678639893	0.0130599183752667	0.1024258232209	-0.0354991911648559	0.0996787526379337	0	0.0197069974335594	-0.0388711964280127	-0.153375616035706	-0.060742225368778	-0.178924898499006	-0.0478169405397749	-0.0240112777110049	0	-0.0931375115646686	0	-0.155020223314881	-0.111158861856186	1	-0.0312226303893899	0.0113227346387725	-0.0723082909115209	-0.0141981809918714	0.024147106994243	0	0.0527402576647187	0.146618063279115	-0.171515273578427	0	0.194013008315034	-0.0278686669285949	-0.0883922657124991	-0.109151761050057	0.103452186035715	0	0.105687943131643	-0.156356644912987	0.129760655983772	0.00945862435022048	0	-0.010675262513023	0.14328733467595	0.101305284184415	0.0138883395653384	-0.0854762064464363	0.10150904517886	-0.0312252423446822	-0.0728544751342039	0.0117190678515259	-0.1417825944811	-0.0293940778221121	0.101121640284933	0.0117056659217914	-0.0711779018594493	-0.0127768231285326	0	-0.103196758476987	0.10533344844768	-0.00988647092605595	-0.0321935110290314	0.0840302531766025	-0.0907138847174867	-0.168408245112984	0	0.0110939337759975	0.098823720665695	0.137670708103643	-0.0420166323750749	0	0.0114312896712661	0.0996151406165616	0
"kpsE"	0	0	0	0	0	0	0	0	0	0	-0.00101491746924136	0	0	0.0714120730244238	0	0	0	0	0	0	0	0	0	0	0.0526240360512741	0	0	0	0	0	0	0	0	-0.0312226303893899	1	0	0	0	0	-0.163481017836652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128961749120195	0	0	0	0
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00276575721524593	0	0	0	0	0	0	0	0	0.0113227346387725	0	1	0	0	0	-0.0142125298849258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177005848771705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124689767405017	0	0	-0.062065756214647	0	0	0	0
