"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"
"wzy"	0	0	0	0	0	0.0167456890494912	0	0	0	0	0.114570272505946	-0.0273972318906272	-0.0631069508081506	0	0	0	0	0	0	-0.00685671698778757	0	0	0	0	0	0	0	0	0	0	0	0	0.0172158385222967	0	0	0	0	0	0	0.0156853234247119	0	0	0.0359134754124051	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021788290104882	0	0.0175260895928238	0	-0.115979113389423	0.00526260596069527	0.0160078334558892
"ybaE"	0	0.0178725295688056	0	0.00773129560542594	0	0	0	0	0	0	-0.0602952341476645	-0.0222960028549264	-0.00698931374821269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00516420424624517	0	0	0	0	0	0.00367086630689823	0	0	0	0	0	0	0	0.00488785320937122	-0.00311654717729342	0	0	0	0	0	1	0	0	0	0.00403375284569005	0	0.0201255273273385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193162604836883	0	0
"ybaL"	0	-0.00597777760128378	0	0	0	0	0	0	0	0	0.122553912304582	0	-0.00704186079642851	0	0	0	0	0	0	0	-0.00378777451548022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0270754614180335	0	0	0	0	0	0	1	0	0	0	0	-0.0074234277393505	0	0	0	0	0	0	0	0	0	0	0.00090101404169738	0	0	0	-0.230645088887022	-0.122268262282286	0
"ybbN"	0.00395481619529517	0	0	0	0.0286297601440846	0	0	0.000931404786391017	0	0	-0.00839205860829264	0.067522383520332	0.129597195981496	0	0	0.0247162505318522	0	0	0	0	0	0	0	0.0191598224663441	0	0	0	0	0	0.00377407303664288	0	0	0	0	-0.0100335605801268	0	0	0	-0.00997244546644391	0	-0.00795207779082554	0	0	0	0	0	-0.00270921963437783	0	0	0	1	0.0107451063321599	0	0	0	0.0101432648616358	0.0299265286617213	0.00814149194720111	0	0.00470388679798828	0	0	0	0	0	0	0	0	0	-0.0256016700294036	0.0227180172418944	0
"ybeB"	0.00700291378665138	-0.010686121683264	0	-0.00226624024861129	0.0377510322744574	0	0	0.00298877397961185	0	0	-0.0168168964436872	0.171286888940368	0.129916713523622	0.0160571848396907	0	0.0346458820811538	0.0271904841282667	0	0	0	-0.031562513208067	0	0	0.0869153810029005	0	0	0	0	0	0.00677698160140972	0	0	0	0	0	0.0219755820224921	0	0.00603240235631499	0	0	0	0	0	-0.000947321939562945	0	0	0	0	0	0	0.0107451063321599	1	0	0.0182333431046931	-0.0116966643607156	0.0156743214159604	0.0388711181235662	0.0127896163197828	0	0.00800905058969783	0.0148013609124981	0	0	0	0	0	0	0	0	-0.0730716878582317	-0.0790193959391047	0
"ybhP"	0	0.0223796692191336	0	0.0138279313801865	0	0	0	0	0	0	-0.0598607920813196	-0.0314352652773184	-0.0071892801509132	0	0	0	0	0	0	0	0	0	0	-0.00559371875392177	0	0	0	0.0116236243758704	0	0	0	0	0	0.0103449951260124	0	0	0	0	0	0	0	0.0113881938348292	-0.00675118557388212	0	0.00542305852282466	0.000647383206448868	0	0	0.00403375284569005	0	0	0	1	0	0.0242718444832553	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00459307790868547	0.186320536116823	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	-0.00136761552451482	0.0956286289509887	0.0077219023080815	0	0	0	0.00457901819721623	0	0	0	0	0	0	0.0293909446844327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182333431046931	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142128516289857	0
"yceK"	0	0.03074655552297	0	0.0260682936961534	-0.0101674062357154	0	0	0	0	0	-0.0507263510055102	-0.0383365300612581	-0.0285810512378503	0	0	-0.0086987263792949	0	0	0	0	0.00456055716921434	0	0	-0.0186567367435985	0	0	0	0.0248252071612633	0	0	0	0	0	0.0240842999508038	0	0	0	0	0	0	0	0.0246970989439609	-0.00919846767298364	0	0.0210204091808158	0.0179532429622089	0	0	0.0201255273273385	-0.0074234277393505	0	-0.0116966643607156	0.0242718444832553	0	1	0	-0.0105841948071494	0	0	0	0	0	0	0	0	0	0	0	0.0204605982638542	0.158802459269221	0	0
"ycfC"	0.00774413748570209	0	0	0	0.0297399782146548	0	0	0.00504955424580397	0	0	-0.0097081223572567	0.0694735970828239	0.126144916542073	0	0	0.0262200584404169	0	0	0	0	0	0	0	0.0234402190269511	0	0	0	0	0	0.00756171512967053	0	0	0	0	-0.0130007100894142	0	0	0	-0.0129495173911028	0	-0.0111736105782957	0	0	0	0	0	-0.00647852094521647	0	0	0	0.0101432648616358	0.0156743214159604	0	0	0	1	0.0309154120492995	0.0114490189741164	0	0.0084094320767189	0	0	0	0	0	0	0	0	0	-0.029945662423186	0.0198524689791797	0
"yebY"	0.0292266847036967	-0.0089940396591012	0	-0.00102828434154216	0.0342997747617329	0	0	0.0283418765925741	0	-0.00412131802863382	-0.0273539905963078	0.071439538144907	0.0960249568287181	0	0	0.0334487931097451	0	0	0	0	0	0.013245406040898	0	0.0425642074064849	-0.0402395803717331	0	0	0	0	0.0291374906304951	0	0	0	0	-0.0324196299121466	0	0	0	-0.0324165032428488	0	-0.0319801049844514	0	-0.0102175109896507	0	0	0	-0.0303322236305747	0	0	0	0.0299265286617213	0.0388711181235662	0	0	-0.0105841948071494	0.0309154120492995	1	0.0303705435300043	0.0260538067941075	0.0294482653131814	0	0.0258162896845422	0	0	0	0	0.021761224853008	0	0	-0.0310748079785706	0.00774251502599171	0
"yecE"	0.00558386985640674	0	0	0	0.0291477287957889	0	0	0.00268499238712519	0	0	-0.00904702983135354	0.0682528113055647	0.128125972549931	0	0	0.0253371054180012	0	0	0	0	0	0	0	0.0209201031471031	0	0	0	0	0	0.00534688550177004	0	0	0	0	-0.0112764615339575	0	0	0	-0.0112262908960896	0	-0.0093103924223101	0	0	0	0	0	-0.00431358655356594	0	0	0	0.00814149194720111	0.0127896163197828	0	0	0	0.0114490189741164	0.0303705435300043	1	0	0.0063199349978668	0	0	0	0	0	0	0	0	0	-0.0273646638769438	0.0215613744238563	0
"yeeR"	0	0	0	0	0.0243662192366415	0	0	0	0	0	-0.00576441498032116	0.0622761937202747	0.138827985085765	0	0	0.0191628017672999	0	0	0	0	0	0	0	0.00597275888074677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0260538067941075	0	1	0	0	0	0	0	0	0	0	0	0	-0.00881720202531874	0.0248625317739985	0
"yeeU"	0.00182051486401603	0	0	0	0.0280995066380318	0	0	0	0	0	-0.00784122834436665	0.0665091124132183	0.131688699681681	0	0	0.0238756506655542	0	0	0	0	0	0	0	0.0168020322759166	0	0	0	0	0	0.00156981437157502	0	0	0	0	-0.00831167018556284	0	0	0	-0.00825047083594324	0	-0.00608603907938981	0	0	0	0	0	-0.000539584955943476	0	0	0	0.00470388679798828	0.00800905058969783	0	0	0	0.0084094320767189	0.0294482653131814	0.0063199349978668	0	1	0	0	0	0	0	0	0	0	0	-0.023000487886294	0.0240992343274119	0
"yfaQ"	0	0	0	0	0	0	0	0	0	0	-0.00119353454256801	0.0947536047845275	0.00660372635654488	0	0	0	0.00146648554287773	0	0	0	0	0	0	0.0265170094778303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148013609124981	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.140277290772747	0
"yfcTU"	0	0	0	0	0.024120658498616	0	0	0	0	0	-0.00564786435254073	0.0619602880417765	0.13879300119186	0	0	0.0188803053361581	0	0	0	0	0	0	0	0.0054599371464896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258162896845422	0	0	0	0	1	0	0	0	0	0	0	0	-0.00814758052687301	0.0246525947426005	0
"yggM"	0	0	0.0167425453313697	0	0	0	0	0	0.0194564264465495	0	0.00249916917492099	-0.0123581991179316	0.00974550350501569	0	0	0	-0.007264619040288	0.0211908767067223	0	0	0	0	0	0	0	0.0210010698708484	0	0	0.0229209511996055	0	0.0192071084475665	0	0	0	-0.00107270317136075	-0.00159833490299172	0.0203514636590239	0	-0.00101582296601786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0216149552835672	0	0	0	0	0	-0.000113222614410843	0.19883601709655	0
"ygjD"	0	0	0.0168646306689101	0	0	0	0	0	0.0195443931806748	0	0.00255187484369078	-0.0124491721935316	0.00975976390066	0	0	0	-0.00733850684657911	0.0212686665909605	0	0	0	0	0	0	0	0.0210769278333866	0	0	0.0229955337972637	0	0.0192973918052273	0	0	0	-0.00115621508188482	-0.00170534387167937	0.0204390947454018	0	-0.00109274689778413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216149552835672	1	0	0	0	0	0	-8.93176003943354e-05	0.198849648764538	0
"yhdG"	0	0	0	0	0	0	0	0	0	0	0	-0.10408721673453	-0.00426942456961218	0	0	0	0	0	0	0	0	0	0	-0.00279546490809425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0713085613721698	0.00276789268866971	0
"yhdJ"	0	0	0	0	0	0.0196353854554412	0	0	0	0	0.113170296838617	-0.0283639954195917	-0.0652411928274487	0	0	0	0	0	0	-0.0125969028526038	0	0	0	0	0	0	0	0	0	0	0	0	0.0200578306921773	0	0	0	0	0	0	0.0186709403337456	0	0	0.0371568696234798	0	0	0	0	0.021788290104882	0	0.00090101404169738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0203386769967689	0	-0.115656849777736	0.00338277766116888	0.0189712940947689
"yieO"	0	0	0	0	0.0196970411761646	0	0	0	0	0	0	0	0.150876426869358	0	0	0.0129845797200223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0122390385530916	0	0	0	-0.0121240496873309	0	-0.00842501817189362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021761224853008	0	0	0	0	0	0	0	0	0	1	0	0	0	0.193236530682704	0
"yihP"	0	0	0	0	0	0.0150161879882184	0	0	0	0	0.115328456572697	-0.0267614606495335	-0.0616465367079372	0	0	0	0	0	0	-0.0035794755422506	0	0	0	0	0	0	0	0	0	0	0	0	0.0155154978738232	0	0	0	0	0	0	0.0138983648187639	0	0	0.0351518070356715	0	0	0	0	0.0175260895928238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203386769967689	0	1	0	-0.116238950695501	0.00638428241247404	0.0142422484509426
"yjcE"	0	0.0182719244635046	0	0.00825965941716654	0	0	0	0	0	0	-0.0606427978234955	-0.0224713983523255	-0.00699548558562165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00572199473480071	0	0	0	0	0	0.00425077676748184	0	0	0	0	0	0	0	0.00544420741082118	-0.00356528753655995	0	0	0	0	0	0	0	0	0	0.00459307790868547	0	0.0204605982638542	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.192841035814718	0	0
"yjjY"	-0.0221107147404247	0.161744742038661	0	0.179847770096199	-0.0321128079757508	-0.116280667164414	-0.208188451564785	-0.0177217440142055	0	0	-0.0877995446572285	-0.0546667515105792	-0.0200033172742249	0	0	-0.0351071621952189	-0.000610757973531207	-8.15855915798877e-05	0	0.179996784805602	0.14801831433999	0	-0.080995215406675	-0.0727049593942823	0	-6.91432053282027e-05	0	0.184522806423696	-0.000233514527093096	-0.021682284441309	0	0	-0.116199157157519	0.186860837481554	0.000941628146312934	0	-2.56764732945659e-05	0	0.000900541947579694	-0.116548707621429	0.000153815150674249	0.185014771779385	-0.0964554741748503	0	0.192275740679465	0.194808053714515	0	-0.115979113389423	0.193162604836883	-0.230645088887022	-0.0256016700294036	-0.0730716878582317	0.186320536116823	0	0.158802459269221	-0.029945662423186	-0.0310748079785706	-0.0273646638769438	-0.00881720202531874	-0.023000487886294	0	-0.00814758052687301	-0.000113222614410843	-8.93176003943354e-05	0.0713085613721698	-0.115656849777736	0	-0.116238950695501	0.192841035814718	1	-0.00638815385562131	-0.116503475419653
"ylcG"	0.0244542929546335	0	0.203098318292086	0	0.00785897403808612	0.00688364578015065	0.169154985453993	0.0254849608988293	0.201087531292103	-0.221916984146674	0.0110262613778579	-0.0663900880488639	0.0169634477986583	-0.140926943500944	0	0.00740209306486713	-0.134292952807276	0.199264916055239	-0.0692941025502822	-0.0952083956761216	0.182084661329848	0.173231460273687	0.160630683922092	-0.0756870611233137	-0.00108329666422346	0.199476759426181	0.120405865303591	0	0.197013279770938	0.0245552028390053	0.201186232085915	0	0.00654066823093131	0	-0.110665392657986	-0.142010198742084	0.200284874637375	-0.132833589127834	-0.110688168060587	0.00757784879730422	-0.111068138998055	0	0	0.133525925239928	0	0	-0.108245695690037	0.00526260596069527	0	-0.122268262282286	0.0227180172418944	-0.0790193959391047	0	-0.142128516289857	0	0.0198524689791797	0.00774251502599171	0.0215613744238563	0.0248625317739985	0.0240992343274119	-0.140277290772747	0.0246525947426005	0.19883601709655	0.198849648764538	0.00276789268866971	0.00338277766116888	0.193236530682704	0.00638428241247404	0	-0.00638815385562131	1	0.00734075876579416
"yqeB"	0	0	0	0	0	0.0133511845031673	0	0	0	0	0.116232020368878	-0.0261510782493923	-0.0604074182340472	0	0	0	0	0	0	-0.000258843679124306	0	0	0	0	0	0	0	0	0	0	0	0	0.0138785812612967	0	0	0	0	0	0	0.01217761987237	0	0	0.0344680485542449	0	0	0	0	0.0160078334558892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189712940947689	0	0.0142422484509426	0	-0.116503475419653	0.00734075876579416	1
